hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,All three,1904,O43852,CALU
HLA-I,All three,1904,O43865,SAHH2
HLA-I,All three,1904,O43914,TYOBP
HLA-I,All three,1904,O60216,RAD21
HLA-I,All three,1904,O60231,DHX16
HLA-I,All three,1904,O60234,GMFG
HLA-I,All three,1904,O60264,SMCA5
HLA-I,All three,1904,O60271,JIP4
HLA-I,All three,1904,O60287,NPA1P
HLA-I,All three,1904,O60291,MGRN1
HLA-I,All three,1904,O60306,AQR
HLA-I,All three,1904,O60315,ZEB2
HLA-I,All three,1904,O60318,GANP
HLA-I,All three,1904,O60333,KIF1B
HLA-I,All three,1904,O60337,MARH6
HLA-I,All three,1904,O60341,KDM1A
HLA-I,All three,1904,O60381,HBP1
HLA-I,All three,1904,O60449,LY75
HLA-I,All three,1904,O60486,PLXC1
HLA-I,All three,1904,O60488,ACSL4
HLA-I,All three,1904,O60502,OGA
HLA-I,All three,1904,O60506,HNRPQ
HLA-I,All three,1904,O60524,NEMF
HLA-I,All three,1904,O60547,GMDS
HLA-I,All three,1904,O60610,DIAP1
HLA-I,All three,1904,O60613,SEP15
HLA-I,All three,1904,O60645,EXOC3
HLA-I,All three,1904,O60664,PLIN3
HLA-I,All three,1904,O60674,JAK2
HLA-I,All three,1904,O60749,SNX2
HLA-I,All three,1904,O60763,USO1
HLA-I,All three,1904,O60832,DKC1
HLA-I,All three,1904,O75056,SDC3
HLA-I,All three,1904,O75083,WDR1
HLA-I,All three,1904,O75094,SLIT3
HLA-I,All three,1904,O75116,ROCK2
HLA-I,All three,1904,O75122,CLAP2
HLA-I,All three,1904,O75150,BRE1B
HLA-I,All three,1904,O75165,DJC13
HLA-I,All three,1904,O75179,ANR17
HLA-I,All three,1904,O75182,SIN3B
HLA-I,All three,1904,O75312,ZPR1
HLA-I,All three,1904,O75367,H2AY
HLA-I,All three,1904,O75369,FLNB
HLA-I,All three,1904,O75376,NCOR1
HLA-I,All three,1904,O75391,SPAG7
HLA-I,All three,1904,O75400,PR40A
HLA-I,All three,1904,O75410,TACC1
HLA-I,All three,1904,O75436,VP26A
HLA-I,All three,1904,O75444,MAF
HLA-I,All three,1904,O75448,MED24
HLA-I,All three,1904,O75460,ERN1
HLA-I,All three,1904,O75475,PSIP1
HLA-I,All three,1904,O75533,SF3B1
HLA-I,All three,1904,O75534,CSDE1
HLA-I,All three,1904,O75563,SKAP2
HLA-I,All three,1904,O75592,MYCB2
HLA-I,All three,1904,O75618,DEDD
HLA-I,All three,1904,O75643,U520
HLA-I,All three,1904,O75691,UTP20
HLA-I,All three,1904,O75694,NU155
HLA-I,All three,1904,O75787,RENR
HLA-I,All three,1904,O75843,AP1G2
HLA-I,All three,1904,O75844,FACE1
HLA-I,All three,1904,O75881,CP7B1
HLA-I,All three,1904,O75882,ATRN
HLA-I,All three,1904,O75923,DYSF
HLA-I,All three,1904,O75935,DCTN3
HLA-I,All three,1904,O75962,TRIO
HLA-I,All three,1904,O75976,CBPD
HLA-I,All three,1904,O76021,RL1D1
HLA-I,All three,1904,O76094,SRP72
HLA-I,All three,1904,O94768,ST17B
HLA-I,All three,1904,O94776,MTA2
HLA-I,All three,1904,O94808,GFPT2
HLA-I,All three,1904,O94832,MYO1D
HLA-I,All three,1904,O94842,TOX4
HLA-I,All three,1904,O94851,MICA2
HLA-I,All three,1904,O94864,ST65G
HLA-I,All three,1904,O94868,FCSD2
HLA-I,All three,1904,O94874,UFL1
HLA-I,All three,1904,O94885,SASH1
HLA-I,All three,1904,O94915,FRYL
HLA-I,All three,1904,O94952,FBX21
HLA-I,All three,1904,O94956,SO2B1
HLA-I,All three,1904,O94966,UBP19
HLA-I,All three,1904,O94967,WDR47
HLA-I,All three,1904,O94973,AP2A2
HLA-I,All three,1904,O94979,SC31A
HLA-I,All three,1904,O94985,CSTN1
HLA-I,All three,1904,O95071,UBR5
HLA-I,All three,1904,O95147,DUS14
HLA-I,All three,1904,O95163,ELP1
HLA-I,All three,1904,O95236,APOL3
HLA-I,All three,1904,O95248,MTMR5
HLA-I,All three,1904,O95271,TNKS1
HLA-I,All three,1904,O95273,CCDB1
HLA-I,All three,1904,O95295,SNAPN
HLA-I,All three,1904,O95298,NDUC2
HLA-I,All three,1904,O95302,FKBP9
HLA-I,All three,1904,O95319,CELF2
HLA-I,All three,1904,O95340,PAPS2
HLA-I,All three,1904,O95361,TRI16
HLA-I,All three,1904,O95372,LYPA2
HLA-I,All three,1904,O95373,IPO7
HLA-I,All three,1904,O95425,SVIL
HLA-I,All three,1904,O95436,NPT2B
HLA-I,All three,1904,O95453,PARN
HLA-I,All three,1904,O95477,ABCA1
HLA-I,All three,1904,O95486,SC24A
HLA-I,All three,1904,O95487,SC24B
HLA-I,All three,1904,O95503,CBX6
HLA-I,All three,1904,O95573,ACSL3
HLA-I,All three,1904,O95602,RPA1
HLA-I,All three,1904,O95644,NFAC1
HLA-I,All three,1904,O95714,HERC2
HLA-I,All three,1904,O95758,PTBP3
HLA-I,All three,1904,O95759,TBCD8
HLA-I,All three,1904,O95786,DDX58
HLA-I,All three,1904,O95793,STAU1
HLA-I,All three,1904,O95848,NUD14
HLA-I,All three,1904,O95897,NOE2
HLA-I,All three,1904,O95976,IGSF6
HLA-I,All three,1904,O96005,CLPT1
HLA-I,All three,1904,O96006,ZBED1
HLA-I,All three,1904,O96009,NAPSA
HLA-I,All three,1904,P00325,ADH1B
HLA-I,All three,1904,P00390,GSHR
HLA-I,All three,1904,P00403,COX2
HLA-I,All three,1904,P00450,CERU
HLA-I,All three,1904,P00451,FA8
HLA-I,All three,1904,P00488,F13A
HLA-I,All three,1904,P00519,ABL1
HLA-I,All three,1904,P00558,PGK1
HLA-I,All three,1904,P00734,THRB
HLA-I,All three,1904,P00736,C1R
HLA-I,All three,1904,P00747,PLMN
HLA-I,All three,1904,P00751,CFAB
HLA-I,All three,1904,P00973,OAS1
HLA-I,All three,1904,P01009,A1AT
HLA-I,All three,1904,P01023,A2MG
HLA-I,All three,1904,P01024,CO3
HLA-I,All three,1904,P01137,TGFB1
HLA-I,All three,1904,P01591,IGJ
HLA-I,All three,1904,P01619,KV320
HLA-I,All three,1904,P01721,LV657
HLA-I,All three,1904,P01730,CD4
HLA-I,All three,1904,P01833,PIGR
HLA-I,All three,1904,P01834,IGKC
HLA-I,All three,1904,P01857,IGHG1
HLA-I,All three,1904,P01871,IGHM
HLA-I,All three,1904,P01876,IGHA1
HLA-I,All three,1904,P01889,HLAB
HLA-I,All three,1904,P01903,DRA
HLA-I,All three,1904,P01909,DQA1
HLA-I,All three,1904,P01920,DQB1
HLA-I,All three,1904,P02545,LMNA
HLA-I,All three,1904,P02647,APOA1
HLA-I,All three,1904,P02649,APOE
HLA-I,All three,1904,P02652,APOA2
HLA-I,All three,1904,P02671,FIBA
HLA-I,All three,1904,P02675,FIBB
HLA-I,All three,1904,P02746,C1QB
